Data Set,Tapajos National Forest - km 83 - March 2000  Tree Survey,,,,,,,,,,,,
Site,Flona Tapajos National Forest (TNF) Km 83 tower site - Santarem - Para - Brazil,,,,,,,,,,,,
File name ,CD04_TNF_KM83_Tree_Survey_2000.csv,,,,,,,,,,,,
File date ,2010-1-18,,,,,,,,,,,,
LBA Team ID,  CD-04,,,,,,,,,,,,
,,,,,,,,,,,,,
Tree survey in 18 ha plot east of the eddy covariance tower in March 2000,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column,Heading,Units/format,Description,,,,,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B00,1114,13.4,8.041908962,29.45740859,,,,,,
Ingarana ,Inga paraensis Ducke,Mimosaceae,B00,1115,27.8,14.5888042,215.7877533,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B00,1116,11,6.950759755,17.58126873,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B00,1117,27,14.2250878,198.8471304,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B00,1118,12.1,7.450869808,22.52664071,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B00,1119,15.9,9.178522718,46.47137774,,,,,,
Cocao da mata,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B00,1120,12,7.405405258,22.04338335,,,,,,
Embauba branca,Cecropia palmata Willd.,Cecropiaceae,B00,1121,11.6,7.223547057,20.17868486,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,B00,1122,10.9,6.905295205,17.17103092,,,,,,
Embauba branca,Cecropia palmata Willd.,Cecropiaceae,B00,1123,11.4,7.132617956,19.28665184,,,,,,
Embauba branca,Cecropia palmata Willd.,Cecropiaceae,B00,1124,15.3,8.905735417,41.91612575,,,,,,
Abiu pitoma de leite,Michopholis sp.,Sapotaceae,B01,1125,34.8,17.77132272,406.5706739,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B01,1126,17.3,9.815026422,58.34804444,,,,,,
Acariquarana,Rinoria guianensis Aubl,Violaceae,B01,1127,12,7.405405258,22.04338335,,,,,,
Pipino da mata,Ambelania acida Aulb.,Apocynaceae,B01,1128,18,10.13327827,64.97367966,,,,,,
Abiu balatinha,Ragala guianensis,Sapotaceae,B01,1129,18.7,10.45153013,72.07980169,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,B01,1130,14.4,8.496554464,35.65304124,,,,,,
Ingarana,Inga paraensis Ducke,Mimosaceae,B01,1131,10.5,6.723437004,15.59304945,,,,,,
Pipino da mata,Ambelania acida Aulb.,Apocynaceae,B01,1132,13.5,8.087373512,30.04212902,,,,,,
Inga folha peluda,Inga rubiginosa ( Rich ) DC,Mimosaceae,B01,1133,10.5,6.723437004,15.59304945,,,,,,
Louro preto,Nectandra globosa ( Aubl ) Mez.,Lauraceae,B01,1134,15.3,8.905735417,41.91612575,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B02,1135,12.6,7.678192559,25.04786078,,,,,,
Pau para tudo,Simabacedron Planch.,Simaroubaceae,B02,1136,10.1,6.541578803,14.11348017,,,,,,
Inga cipo,Inga edulis Mart.,Mimosaceae,B02,1137,15.9,9.178522718,46.47137774,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B02,1138,11.8,7.314476157,21.09746539,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B02,1139,22.8,12.31557669,124.2293508,,,,,,
Tento,Ormosia paraensis Ducke,Fabaceae,B02,1140,12.4,7.587263459,24.01819114,,,,,,
Papa-terra,Miconia argyrophylla,Melastomataceae,B02,1141,15.5,8.996664517,43.40006279,,,,,,
Matamata branco,Eschweilera coriacea ( A. P. Decandolle ) Mart ex Berg,Lecythidaceae,B02,1142,13.1,7.905515311,27.74843727,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae ,B02,1143,12,7.405405258,22.04338335,,,,,,
Caneleira,Casearia javitensis H. B. K.,Flacourtiaceae,B02,1144,27.8,14.5888042,215.7877533,,,,,,
Cocao da mata,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B02,1145,14,8.314696263,33.08089923,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B02,1146,21,11.49721478,99.01884065,,,,,,
Envira surucucu,Duguetia echinophora R.E. Fries ,Annonaceae,B03,1147,12.6,7.678192559,25.04786078,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B03,1148,23.4,12.58836399,133.4932336,,,,,,
Jarana,Lecythis lurida ( Miers ) Mori ,Lecythidaceae,B03,1149,29.7,15.45263065,259.8074035,,,,,,
Breu ,Protium decandrum ( Aublet ) March.,Burseraceae,B03,1150,10.7,6.814366105,16.36954371,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,B03,1151,17.1,9.724097321,56.5409195,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B03,1152,25.7,13.63404864,173.2445603,,,,,,
louro tamanco ,Aniba sp.,Lauraceae ,B03,1153,16.5,9.45131002,51.3428003,,,,,,
Caxua,Trichilia lequente,Meliaceae,B03,1154,21.2,11.58814388,101.6345296,,,,,,
louro tamanco ,Aniba sp.,Lauraceae ,B03,1155,29.3,15.27077245,250.0861369,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B04,1156,21.5,11.72453753,105.6434227,,,,,,
Abiurana,Pouteria guianensis Aubl.,Sapotaceae,B04,1157,11.6,7.223547057,20.17868486,,,,,,
Breu ,Protium decandrum ( Aublet ) March.,Burseraceae,B04,1158,11.8,7.314476157,21.09746539,,,,,,
Cocao da mata,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B04,1159,28.2,14.7706624,224.6064343,,,,,,
Caxua,Trichilia lequente,Meliaceae,B04,1160,16.6,9.49677457,52.18618197,,,,,,
Joao  grande,Neea floribunda Poepp & Endl.,Nyctaginaceae,B04,1161,11.4,7.132617956,19.28665184,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B04,1162,21.6,11.77000208,107.0026779,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B04,1163,12,7.405405258,22.04338335,,,,,,
Cocao da mata,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B04,1164,14.3,8.451089914,34.99805031,,,,,,
Cocao da mata,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B04,1165,23.2,12.49743489,130.3560447,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,B04,1166,18.9,10.54245923,74.20071389,,,,,,
Tachi preto folha miuda,Tachigalia myrmecophila Ducke,Caesalpinaceae,B04,1167,20.5,11.26989203,92.675949,,,,,,
Inga cipo,Inga edulis Mart.,Mimosaceae,B04,1168,18.2,10.22420737,66.95424005,,,,,,
Muiratinga folha peluda,Perebea mollis ( P & E ) Huber subsp. Mollis,Moraceae,B04,1169,18.3,10.26967192,67.95935085,,,,,,
Papa-terra,Miconia argyrophylla,Melastomataceae,B05,1170,20.4,11.22442748,91.44063757,,,,,,
Jutai pororoca,Dialium guianense ( Aubl ) Swartz,Caesalpinaceae,B05,1171,21.3,11.63360843,102.9593973,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B05,1172,23.2,12.49743489,130.3560447,,,,,,
Abiu pitoma de leite,Michopholis sp.,Sapotaceae,B05,1173,31,16.04366981,293.1310605,,,,,,
Caxua,Trichilia lequente,Meliaceae,B05,1174,10.8,6.859830655,16.76713883,,,,,,
Angelim rajado,Marmaroxylon racemosum ( Ducke ) Killip,Mimosaceae,B05,1175,22.2,12.04278938,115.4026734,,,,,,
Matamata branco,Eschweilera coriacea ( A. P. Decandolle ) Mart ex Berg,Lecythidaceae,B05,1176,11.2,7.041688856,18.42097643,,,,,,
Cocao ,Dialium sp.,Caesalpinaceae,B05,1177,11.4,7.132617956,19.28665184,,,,,,
Envira surucucu,Duguetia echinophora R.E. Fries ,Annonaceae,B05,1178,21.6,11.77000208,107.0026779,,,,,,
Andiroba,Carapa guianensis Audl.,Meliaceae,B05,1179,34,17.40760632,380.6194916,,,,,,
Louro preto,Nectandra globosa ( Aubl ) Mez.,Lauraceae,B05,1180,17.7,9.996884623,62.07626116,,,,,,
Abiu balatinha ,Ragala guianensis,Sapotaceae,B05,1181,18.1,10.17874282,65.95903256,,,,,,
Breu folha grande,Protium robustum ( Swart ) Porter,Burseraceae,B05,1182,11.7,7.269011607,20.63470732,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B05,1183,24.2,12.95208039,146.5433629,,,,,,
Louro preto,Nectandra globosa ( Aubl ) Mez.,Lauraceae,B06,1184,17,9.678632771,55.65143233,,,,,,
Inga vermelho,Inga alba ( SW ) Willd.,Mimosaceae,B06,1185,22.4,12.13371848,118.2969704,,,,,,
Taquari,Mabea angustifolia Benth.,Euphorbiaceae,B06,1186,18.9,10.54245923,74.20071389,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B06,1187,19.1,10.63338833,76.36260369,,,,,,
Itauba abacate,Mezilaurus duckei van der Werff,Lauraceae,B06,1188,15.2,8.860270866,41.18691678,,,,,,
Louro branco,Ocotea sp.,Lauraceae ,B06,1189,23.7,12.72475764,138.2924155,,,,,,
Mamorana,Eriotheca globosa ( Aubl ) A. Robyns,Bombacaceae,B06,1190,15.7,9.087593618,44.91835016,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B06,1191,11.5,7.178082507,19.72934928,,,,,,
Papa-terra,Miconia argyrophylla,Melastomataceae,B06,1192,24.8,13.22486769,156.868315,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B06,1193,13.6,8.132838062,30.63446234,,,,,,
Taquari,Mabea angustifolia Benth.,Euphorbiaceae,B06,1194,24.2,12.95208039,146.5433629,,,,,,
Capitiu,Sipararuna cristata ( Poepp et Endl ) A. DC.,Mimosaceae,B06,1195,20.7,11.36082113,95.17969259,,,,,,
Caqui,Diospyros guianensis ( Aubl ) Gurke,Ebenaceae,B06,1196,16.4,9.405845469,50.50849354,,,,,,
Cocao,Dialium sp.,Caesalpinaceae,B06,1197,22,11.95186028,112.5557855,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B06,1198,18.3,10.26967192,67.95935085,,,,,,
Muirarema,Trichilia micrantha Benth.,Meliaceae,B06,1199,13.2,7.950979861,28.31061145,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,B06,1200,20.5,11.26989203,92.675949,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B06,1201,23,12.40650579,127.2682137,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B07,1202,14.8,8.678412665,38.35400741,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B07,1203,11.2,7.041688856,18.42097643,,,,,,
Janita,Brosimum guianense (Aublet ) Huber,Moraceae,B07,1204,12.5,7.632728009,24.5294632,,,,,,
abiu vermelho,Pouteria platyphylla ( A . C Sm ) Baehni,Sapotaceae,B07,1205,23.8,12.77022219,139.917244,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B07,1206,19.6,10.86071108,81.94916335,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B07,1207,12.5,7.632728009,24.5294632,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B07,1208,21.6,11.77000208,107.0026779,,,,,,
Envira surucucu,Duguetia echinophora R.E. Fries ,Annonaceae,B07,1209,12.9,7.81458621,26.646294,,,,,,
Farinha seca,Ampelocera edentula Kuhl,Ulmaceae,B07,1210,20.8,11.40628568,96.4482222,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B07,1211,26.2,13.86137139,182.8147094,,,,,,
Louro branco,Ocotea sp.,Lauraceae ,B08,1212,23.4,12.58836399,133.4932336,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,B08,1213,22.3,12.08825393,116.8438714,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B08,1214,16.3,9.360380919,49.68321295,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,B08,1215,32.2,16.58924441,326.3097768,,,,,,
Inga vermelho,Inga alba ( SW ) Willd.,Mimosaceae,B08,1216,21.9,11.90639573,111.1499982,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae ,B08,1217,20.1,11.08803383,87.80036006,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B08,1218,27.5,14.45241055,209.3270067,,,,,,
Cocao,Dialium sp.,Caesalpinaceae,B08,1219,13.9,8.269231713,32.45762699,,,,,,
Breu aracuxini,Protium sp.,Burseraceae,B08,1220,10.8,6.859830655,16.76713883,,,,,,
Arataciurana,Pausandra Densiflora ,Euphorbiaceae,B09,1221,15.2,8.860270866,41.18691678,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B09,1222,13.3,7.996444411,28.88025231,,,,,,
Amapa doce,Brosimum parinarioides Ducke ssp. parinarioides,Moraceae,B09,1223,11.3,7.087153406,18.8505438,,,,,,
Breu folha grande,Protium robustum ( Swart ) Porter,Burseraceae,B09,1224,22.3,12.08825393,116.8438714,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B09,1225,23.4,12.58836399,133.4932336,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,B09,1226,21.6,11.77000208,107.0026779,,,,,,
Cocao,Dialium sp.,Caesalpinaceae,B09,1227,10.6,6.768901554,15.97819683,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B09,1228,17.2,9.769561871,57.43977396,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B10,1229,15.4,8.951199967,42.65382484,,,,,,
Papa-terra,Miconia argyrophylla,Melastomataceae,B10,1230,16.9,9.633168221,54.77126373,,,,,,
Abiu quadrado,Microphylis acutangula ( Ducke ) Eyma,Sapotaceae,B10,1231,13.3,7.996444411,28.88025231,,,,,,
Envira cana,Xylopia nitida Dun.,Annonaceae,B10,1232,25.7,13.63404864,173.2445603,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinaceae,B10,1233,20.8,11.40628568,96.4482222,,,,,,
Joao  grande,Neea floribunda Poepp & Endl.,Nyctaginaceae,B10,1234,14.8,8.678412665,38.35400741,,,,,,
Ucuuba vermelha,Virola elongata ( Benth ) Warb ,Myristicaceae,B10,1235,16.4,9.405845469,50.50849354,,,,,,
Inga,Inga sp.,Mimosaceae,B10,1236,19.9,10.99710473,85.42773513,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B10,1237,17.4,9.860490972,59.26577967,,,,,,
Tachi preto folha miuda,Tachigalia myrmecophila Ducke,Caesalpinaceae,B11,1238,18.6,10.40606558,71.03459038,,,,,,
Axixa,Sterculia speciosa Ducke,Sterculiaceae,B11,1239,11.5,7.178082507,19.72934928,,,,,,
Urucurana,Lindackeria latifolia Benth.,Flacourtiaceae,B11,1240,17.1,9.724097321,56.5409195,,,,,,
Caxua,Trichilia lequente,Meliaceae,B11,1241,15.2,8.860270866,41.18691678,,,,,,
Cuiarana,Terminalia amazonica ( J. Gmelin ) Exell,Combretaceae,B11,1242,15.6,9.042129067,44.15488831,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B11,1243,12,7.405405258,22.04338335,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B11,1244,21.8,11.86093118,109.7559169,,,,,,
Matamata vermelho,Eschweilera apiculatum,Lecythidaceae,B11,1245,24.4,13.04300949,149.9331874,,,,,,
Breu  ,Protium decandrum ( Aublet ) March.,Burseraceae,B11,1246,19.7,10.90617563,83.09803683,,,,,,
Embaubarana,Pourouma guianensis Aubl.,Cecropiaceae,B11,1247,30.7,15.90727616,285.2027971,,,,,,
Breu  ,Protium decandrum ( Aublet ) March.,Burseraceae,B12,1248,12.8,7.76912166,26.10622744,,,,,,
Louro ,Ocotea sp.,Lauraceae ,B12,1249,13.6,8.132838062,30.63446234,,,,,,
Louro preto,Nectandra globosa ( Aubl ) Mez.,Lauraceae,B12,1250,13,7.860050761,27.19368103,,,,,,
Ucuuba da terra firme,Virola michelii Heckel,Myristicaceae,B12,1251,28.2,14.7706624,224.6064343,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B12,1252,10.9,6.905295205,17.17103092,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B12,1253,20.8,11.40628568,96.4482222,,,,,,
Arataciurana,Pausandra Densiflora ,Euphorbiaceae,B12,1254,12.9,7.81458621,26.646294,,,,,,
Arataciu preto ,Anomalocalyx uleanus (Pax. & K. Hoffm.) Ducke,Euphorbiaceae,B12,1255,10.5,6.723437004,15.59304945,,,,,,
Andiroba,Carapa guianensis Audl.,Meliaceae,B12,1256,13,7.860050761,27.19368103,,,,,,
Gema de ovo,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B12,1257,11.9,7.359940708,21.56700783,,,,,,
Caneleira,Casearia javitensis H. B. K.,Flacourtiaceae,B12,1258,10.2,6.587043353,14.47431693,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,B12,1259,16.4,9.405845469,50.50849354,,,,,,
Lacre vermelho,Vismia latifolia Choisy,Clusiaceae,B12,1260,10.9,6.905295205,17.17103092,,,,,,
Paparola,Paypayrola grandiflora Warm.,Violaceae,B12,1261,12.3,7.541798909,23.51399586,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B12,1262,10.8,6.859830655,16.76713883,,,,,,
Matamata vermelho,Eschweilera idatimom,Lecythidaceae,B13,1263,20.8,11.40628568,96.4482222,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,B13,1264,17.4,9.860490972,59.26577967,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B13,1265,15.5,8.996664517,43.40006279,,,,,,
Andirobarana,Guarea subsessiliflora C. DC.,Meliaceae,B13,1266,21.5,11.72453753,105.6434227,,,,,,
inga preto,Inga sp.,Mimosaceae,B13,1267,15.5,8.996664517,43.40006279,,,,,,
Tatapiririca,Tapirira guianensis Aubl.,Anacardiaceae,B13,1268,19.5,10.81524653,80.81087535,,,,,,
Goiabinha,Myrciaria cf. floribunda ( West ex Willd ) Berg,Myrtaceae,B14,1269,11.8,7.314476157,21.09746539,,,,,,
Pitaica,Swartizia Microcarpum Ducke,Mimosaceae,B14,1270,32.5,16.72563806,334.9774466,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B14,1271,11.3,7.087153406,18.8505438,,,,,,
Abiu rosadinha,Michopholis venulosa (Mart. & Eichler ) Pierre,Sapotaceae,B14,1272,25.5,13.54311954,169.5117433,,,,,,
Janita,Brosimum guianense (Aublet ) Huber,Moraceae,B14,1273,17.3,9.815026422,58.34804444,,,,,,
Gema de ovo,Poecilanthe effusa ( Hub ) Ducke,Fabaceae,B14,1274,16.5,9.45131002,51.3428003,,,,,,
Cupui,Theobroma subincaum Mart.,Sterculiaceae,B14,1275,15.6,9.042129067,44.15488831,,,,,,
Matamata branco,Eschweilera coriacea ( A. P. Decandolle ) Mart ex Berg,Lecythidaceae,B14,1276,15.8,9.133058168,45.69049706,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B14,1277,18.8,10.49699468,73.13515995,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B14,1278,10.8,6.859830655,16.76713883,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B14,1279,34.2,17.49853542,387.0007123,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,B15,1280,11.8,7.314476157,21.09746539,,,,,,
Matamata branco,Eschweilera coriacea ( A. P. Decandolle ) Mart ex Berg,Lecythidaceae,B15,1281,16.5,9.45131002,51.3428003,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,B15,1282,13.5,8.087373512,30.04212902,,,,,,
Axixa,Sterculia speciosa Ducke,Sterculiaceae,B15,1283,24.7,13.17940314,155.1149765,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosaceae,B15,1284,16.5,9.45131002,51.3428003,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B15,1285,14.4,8.496554464,35.65304124,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B15,1286,15.3,8.905735417,41.91612575,,,,,,
Arataciu,Sagotia racemosa,Euphorbiaceae,B16,1287,10.1,6.541578803,14.11348017,,,,,,
Matamata vermelho,Eschweilera idatimom,Lecythidaceae,B16,1288,28.5,14.90705605,231.3754141,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae ,B16,1289,11.1,6.996224306,17.99790098,,,,,,
Piquia,Caryocar villosum ( Aubl. )Pres.,Caryocaraceae,B16,1290,24.6,13.13393859,153.3747081,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B16,1291,10.3,6.632507904,14.84115824,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B16,1292,11.2,7.041688856,18.42097643,,,,,,
Matamata vermelho,Eschweilera idatimom,Lecythidaceae,B17,1293,16.9,9.633168221,54.77126373,,,,,,
Joao  grande,Neea floribunda Poepp & Endl.,Nyctaginaceae,B17,1294,13,7.860050761,27.19368103,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae ,B17,1295,31.2,16.13459891,298.4971834,,,,,,
Goiabinha,Myrciaria cf. floribunda ( West ex Willd ) Berg,Myrtaceae,B17,1296,24.5,13.08847404,151.6474614,,,,,,
Pama,Brosimum sp.,Moraceae,B17,1297,23,12.40650579,127.2682137,,,,,,
Joao  grande,Neea floribunda Poepp & Endl.,Nyctaginaceae,B17,1298,11.6,7.223547057,20.17868486,,,,,,
Andirobarana ,Guarea subsessiliflora C. DC.,Meliaceae,B17,1299,14.8,8.678412665,38.35400741,,,,,,
Ucuuba vermelha,Virola elongata ( Benth ) Warb ,Myristicaceae,B17,1300,11.1,6.996224306,17.99790098,,,,,,
Matamata branco,Eschweilera coriacea ( A. P. Decandolle ) Mart ex Berg,Lecythidaceae,B17,1301,14.7,8.632948115,37.66651803,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B17,1302,11.2,7.041688856,18.42097643,,,,,,
Amapa amargosa,Brosimum rubescens Taub.,Moraceae,B17,1303,26.8,14.1341587,194.7548555,,,,,,
Freijo branco,Cordia bicolor DC.,Boraginaceae,B17,1304,14.4,8.496554464,35.65304124,,,,,,
Barbatimao,Stryphnodendron pulcherrimum,Mimosaceae,B17,1305,11.5,7.178082507,19.72934928,,,,,,
Freijo branco,Cordia bicolor DC.,Boraginaceae,B17,1306,11.3,7.087153406,18.8505438,,,,,,
Louro ,Ocotea sp.,Lauraceae ,B17,1307,18.3,10.26967192,67.95935085,,,,,,
inga preto,Inga sp.,Mimosaceae,B17,1308,14.5,8.542019014,36.31608368,,,,,,
Ucuuba vermelha,Virola elongata ( Benth ) Warb ,Myristicaceae,B17,1309,13.6,8.132838062,30.63446234,,,,,,
Murta,Myrcia fallax ( Rich ) DC.,Myrtaceae,B18,1310,10.6,6.768901554,15.97819683,,,,,,
Louro preto,Nectandra globosa ( Aubl ) Mez.,Lauraceae,B18,1311,11.2,7.041688856,18.42097643,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B18,1312,21.7,11.81546663,108.3734931,,,,,,
Janita,Brosimum guianense (Aublet ) Huber,Moraceae,B18,1313,11.1,6.996224306,17.99790098,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B18,1314,12.1,7.450869808,22.52664071,,,,,,
Arataciu,Sagotia racemosa,Euphorbiaceae,B18,1315,13,7.860050761,27.19368103,,,,,,
Pente de macaco,Apeiba echinata Gaertner ,Tiliaceae,B18,1316,29.2,15.2253079,247.6942196,,,,,,
Muiratinga,Maquira guianensis ( Aubl ) Hub.,Moraceae,B18,1317,10.8,6.859830655,16.76713883,,,,,,
Abiu balatinha ,Ragala guianensis,Sapotaceae,B19,1318,11.9,7.359940708,21.56700783,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B19,1319,15.2,8.860270866,41.18691678,,,,,,
Envira surucucu,Duguetia echinophora R.E. Fries ,Annonaceae,B19,1320,16.5,9.45131002,51.3428003,,,,,,
Arataciurana,Pausandra Densiflora ,Euphorbiaceae,B19,1321,16.4,9.405845469,50.50849354,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B19,1322,28.3,14.81612695,226.8479208,,,,,,
Pitomba,Talisia longifolia ( Benth ) Radlk.,Sapindaceae,B19,1323,27,14.2250878,198.8471304,,,,,,
Freijo branco,Cordia bicolor DC.,Boraginaceae,B19,1324,13.9,8.269231713,32.45762699,,,,,,
Farinha seca,Ampelocera edentula Kuhl,Ulmaceae,B19,1325,31.7,16.36192166,312.1974806,,,,,,
Tatapiririca,Tapirira guianensis Aubl.,Anacardiaceae,B19,1326,24.2,12.95208039,146.5433629,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,B20,1327,21.6,11.77000208,107.0026779,,,,,,
Abiu rosadinha,Michopholis venulosa (Mart. & Eichler ) Pierre,Sapotaceae,B20,1328,14.6,8.587483565,36.98722636,,,,,,
Ucuuba vermelha,Virola elongata ( Benth ) Warb ,Myristicaceae,B20,1329,15,8.769341766,39.75377426,,,,,,
Papa-terra,Miconia argyrophylla,Melastomataceae,B21,1330,17.3,9.815026422,58.34804444,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B21,1331,22.9,12.36104124,125.7426856,,,,,,
Arataciu,Sagotia racemosa,Euphorbiaceae,B21,1332,11.4,7.132617956,19.28665184,,,,,,
Ucuuba da terra firme,Virola michelii Heckel,Myristicaceae,B21,1333,22.3,12.08825393,116.8438714,,,,,,
Freijo branco,Cordia scrabida DC.,Boraginaceae,B21,1334,27.5,14.45241055,209.3270067,,,,,,
Abiu cutite,Pouteria macrophylla ( Lamarck ) Eyma,Sapotaceae,B21,1335,14.6,8.587483565,36.98722636,,,,,,
Pau de remo,Chimarrhis turbinata DC.,Rubiaceae,B21,1336,16.9,9.633168221,54.77126373,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,B22,1337,28.9,15.08891425,240.6098463,,,,,,
Arataciu preto ,Anomalocalyx uleanus (Pax. & K. Hoffm.) Ducke,Euphorbiaceae,B22,1338,10.2,6.587043353,14.47431693,,,,,,
Inga vermelho,Inga alba ( SW ) Willd.,Mimosaceae,B22,1339,11.1,6.996224306,17.99790098,,,,,,
Inga vermelho,Inga alba ( SW ) Willd.,Mimosaceae,B22,1340,11.4,7.132617956,19.28665184,,,,,,
Inga vermelho,Inga alba ( SW ) Willd.,Mimosaceae,B22,1341,12.2,7.496334358,23.01682863,,,,,,
Caferana,Dendrobrangea boliviana Rusby,Icacinaceae,B22,1342,11,6.950759755,17.58126873,,,,,,
Ingarana ,Inga paraensis Ducke,Mimosaceae,B22,1343,20.8,11.40628568,96.4482222,,,,,,
Jarana,Lecythis lurida ( Miers ) Mori ,Lecythidaceae,B22,1344,15.7,9.087593618,44.91835016,,,,,,
